Šifra stranke,Naziv,E-pošta,Tel. številko,Uporabniki,Skupina (Magento),Cenik,Plačnik,Popust polno pakiranje,Vrednostni rabat,Rabat prag 1,Rabat % 1,Rabat prag 2,Rabat % 2,Rabat prag 3,Rabat % 3,B2B+,Skupine popustov,Popust NW
0000563,"E.DEN ELEKTRONIKA, DENIS ŠUŠTARŠIČ S.P.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000564,ERIK HOLZBAUER S.P.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000565,ELEKTRO CENTAR d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000574,ELEKTRO OKROGELNIK d.o.o.,,,,,B2B,0001537|,0,0,800,1,1500,2,3000,3,0,,
0000575,ELEKTRO PRESTIŽ Jure Hrastar s.p.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000579,PETER VOZELJ s.p.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000582,ELEKTRO TOPLER d.o.o.,,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0000584,"ELEKTRO UGOVŠEK ELEKTRIČNE INSTALACIJE, D.O.O.",,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0000586,ELEKTRO-IN d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000595,"ELEKTROCENTER, PE Šempeter",,,,,B2C,0000594|,0,0,800,1,1500,2,3000,3,0,,
0000596,"ELEKTROCENTER, PE Domžale",,,,,B2B,0000594|,0,0,800,1,1500,2,3000,3,0,,
0000597,"ELEKTROCENTER, PE Kamnik",,,,,B2C,0000594|,0,0,800,1,1500,2,3000,3,0,,
0000598,"ELEKTROCENTER, PE Sežana",,,,,B2C,0000594|,0,0,800,1,1500,2,3000,3,0,,
0000599,"ELEKTROCENTER, PE Koper",,,,,B2C,0000594|,0,0,800,1,1500,2,3000,3,0,,
0000600,"ELEKTROINŽENIRING LILIJA, d.o.o.",,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0000601,ELEKTROLUX d.o.o. Črnomelj,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000603,ELEKTROMONTER d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000607,"ELEKTROTURNŠEK INSTALACIJE, ELEKTROINSTALACIJE, ELEKTROINŽENIRING, ELEKTROMERI",,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0000617,"El-Pro, Damjan Božič, s.p.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000620,"ELPOS ELEKTRO TRGOVINA, SARA GREŠOVNIK S.P.",,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0000621,ELPRO KRIŽNIČ d.o.o.,,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0000625,ELTOK d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000629,EML STADLER d.o.o.,,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0000640,ERRI d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000704,ETS PREGL d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000706,EURO M PROIZVODNO TRGOVSKO PODJETJE D.O.O.,,,,,B2B,0000586|,0,0,800,1,1500,2,3000,3,0,,
0000713,"EUROTON, d.o.o.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000717,"EVENTUS, Novo mesto, d.o.o.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000718,"EVENTUS, PE Ljubljana",,,,,B2C,0000717|,0,0,800,1,1500,2,3000,3,0,,
0000719,"EVENTUS, PE Celje",,,,,B2C,0000717|,0,0,800,1,1500,2,3000,3,0,,
0000720,"EVENTUS, PE Maribor",,,,,B2C,0000717|,0,0,800,1,1500,2,3000,3,0,,
0000721,Kalcer d.o.o.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000726,EVJ d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000728,EYWA Nejc Rihar s.p.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000742,Filoform B.V.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0000763,G.N.C. S.R.L.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0000775,"GIC GRADNJE, GRADBENIŠTVO, IZVAJANJE IN INŽENIRING D.O.O.",,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0000779,"GMVI, GRADNJA, MONTAŽA, VZDRŽEVANJE, INŠTALACIJE, D.O.O.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000780,GNC S.r.l.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0000819,"GRŽE, d.o.o. Postojna",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000826,"HADOLIN, TRGOVINA IN STORITVE, D.O.O.",,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0000827,HALCOM d.d.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000829,"HALO PESEK, BIOMASA d.o.o.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
